,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99
2018-10-21,29.733586062938045,20.83748326143966,24.61131742071092,32.843814359363535,30.40870897070138,11.85306517123002,24.424448590044225,17.240191349547178,17.554177195196157,20.905587339553016,19.16696389184808,27.713031607143904,23.191352036116097,19.021063407007286,21.122558906329296,20.403843953293386,27.972666236799007,16.88927014814498,20.26943577500075,12.65652942273325,1.5753722743337235,22.490703141363863,23.86577591688662,13.386605478059552,33.032065050209916,8.741226181425233,18.525892654859437,17.00650953702405,28.22509065350379,27.811426304931338,19.238085056672997,20.69402134347646,12.436783953151206,5.307543980458414,15.958147801384138,19.247226722983164,26.252087731748475,26.070037350162785,15.701062832403665,16.255638340660965,11.388168371203733,8.965261735670927,7.098161103362244,30.951500399508937,14.90318696465414,15.370058766223291,10.055982859208886,23.29866548705017,7.700666264708886,16.83981590792808,12.386685301739622,20.751028471747855,14.895666728535682,10.526672294074988,18.04360889542684,21.021254494352945,18.661292781556774,20.200323892232635,14.090018618935026,15.861424488114356,13.841258498486273,15.882218473301851,12.923625163001931,6.967628728152215,19.38470408024924,15.606784817028634,7.594345100821402,21.24595957469298,12.309511525985378,18.56624700879166,22.98297439904018,19.068729665833153,25.65925128311435,10.173190456792158,20.851731379427537,13.760707074756384,12.547593291847678,14.451841472236373,16.195305984228423,18.593771908804303,10.62765697695512,24.10313415282548,21.26474578051318,8.207171041119246,27.93466000275118,30.59350114066669,25.91610286494778,17.05385697224865,11.243369537015987,25.105165680076347,15.597679237769398,26.200914181635948,19.585917800588277,24.597626885928783,20.551854588536166,22.836103099190794,18.29591660937007,29.8758964808326,19.05522260815559,20.849433622921417
2018-10-28,29.704954709118766,6.626199232749251,7.980734922434403,24.445882568603515,9.922342690937311,26.069639418469883,13.527589632253134,9.731003537787785,27.21961945811246,25.089164734813195,27.221853700755773,22.876338284625277,10.330139807131927,27.46622041778555,13.7332299125905,20.553402684874772,23.203629818592688,13.516179030222384,19.294408559928527,19.58846776113749,13.531207848623545,8.618720332088989,18.04482020332042,22.389292891961134,13.634981733045029,11.714914348025461,12.057769549483936,26.61561950805439,21.467090869875204,19.64647169661335,10.034764258742344,18.902012384541358,9.125402592196934,12.12468334344949,10.170044879664452,19.470740897186538,20.398198869816447,15.237672199380393,16.84243860140134,7.254870328223882,3.560624955778181,15.607370759305496,13.407757884294172,21.838490000743498,29.623870073830254,20.345292699932195,7.033275630544366,23.25754869511855,3.8733055070406603,11.505379509546778,13.0673837538814,26.572968450186575,9.220228194895745,7.702798775160196,14.14523345335074,11.130885712783247,22.275167366423037,8.229526650088664,6.411929508866692,11.439885171673136,10.59186006842144,26.88579354160484,19.826169336716994,12.86225924859247,7.096649937467295,19.74562667737932,5.908467754160744,5.433232681508111,21.244110399040853,16.972464809883796,21.906950322067065,17.09735253331948,22.092475089420596,8.767277849150714,8.674342119673408,18.267906768013123,8.30846181273704,9.480281982259342,11.39960137532077,15.025396486772062,10.807111324907552,7.184816686877625,11.315298916143007,-1.931748720872795,21.094662674858927,7.166235276430005,9.358204664250446,14.904586772471676,8.430972935363066,26.443284367517265,5.803406210171691,18.367669604039747,14.878762679415514,8.645505310658208,18.76579025533573,14.74855976511648,19.878318321741794,22.82540749277786,29.125244671899644,24.13734496229387
2018-11-04,20.56163145363813,14.653942181536541,24.35202086360332,26.60139139498567,22.80439838915003,8.482084984673673,18.23821724054578,11.473170913790165,22.109087790450157,19.748010553003184,26.502028018169103,23.147011346941508,22.589883383561798,17.552671743056177,11.70657391341694,16.60380544458253,21.08600464937421,19.55187673317765,33.70768189539108,17.432774405963585,8.173519793510287,14.696291271255998,16.29356571755992,21.607575295334616,9.873837987511479,15.663036775104858,18.056694929249065,21.565942242129353,16.953688698843198,18.815333291629365,7.415739953103914,15.739154194861555,11.771120171263117,17.45702376610423,8.620877287499784,23.927883128965213,30.012265761120897,5.567948536177999,20.401339845131822,19.97228167180948,9.717042864644636,13.575528242658267,14.478355378174799,19.467038476179578,18.34674089759977,7.420836301651443,21.9409965466958,27.435080980212792,7.996254485108332,7.052167770935467,19.590314604309636,16.940008145387154,16.688511743603463,12.57505289632358,21.932736378520584,21.79416551960773,14.629445534910701,7.442328211845998,4.664228023639367,20.412700487995924,8.133241146186528,16.61039123120173,13.919099161972394,14.856477086987272,3.438188716048261,19.49019225161551,17.158700656166427,16.594501233522525,15.993173297682958,18.78584077930019,22.636502509568984,0.18197708541807245,33.30030399355722,17.38049808489292,12.424006578274076,15.053529251877368,18.36766920240413,14.986441936048768,3.235384002298863,31.18233633709528,14.65413549907462,23.565467702967467,12.832740364164259,22.102747064315327,22.582784896738524,22.011438230051226,10.899902440501403,25.320252945357705,19.446511993960314,29.917923219360183,11.018372752406169,16.66029597827968,32.884155958625975,10.412814144839196,18.014606853151665,25.81021975571981,19.39565845795494,25.24640167785387,18.369347021945888,22.577604065239413
2018-11-11,10.082713433872993,22.85636929039795,14.202843707427357,15.031785993339582,20.09428785993896,9.824475535449363,5.836003593725323,2.595738968355139,21.39760570996945,15.380767944333462,17.208875127504292,24.751576926399235,7.44477082440102,11.321066972638123,10.145727459031322,15.468701162042542,17.07461008327891,11.94261236395137,18.06805924847284,13.124047312723292,4.487503745551616,7.3192574415613745,16.604145673879835,9.541468487061188,6.287575666354624,9.484121783496908,12.41521033444465,31.29014250399665,11.55289114669969,22.347610221531532,15.662177302785516,6.654385929817256,15.735236620778213,3.810622356361792,-6.704391034449754,20.11325420284732,7.18602027748172,15.145632535087444,9.963796684683107,23.554359144189505,16.0848392614658,8.803203969514302,6.840944698978154,9.230418830635454,13.209777643116572,10.238008519585872,9.917681606300514,19.180010778597346,12.056955447294946,12.919706567840029,8.151081457592637,6.648798723421386,21.04920815688017,5.869172104143253,10.361723589134655,11.062068850007678,2.4517035217569667,7.491932575517303,5.711226622992111,17.552713109237523,14.873450662339827,15.373389495057364,19.1877407530409,13.517192571711735,9.29677440380772,15.763711369346538,9.445818026125929,9.749978007688455,11.995310627260086,7.113857038141234,18.62716469786829,3.890668929746213,25.08517990755711,9.960079289332441,12.22085657521149,16.427608336269035,16.246734394598587,1.5062333523957374,8.323700675832736,22.670027885286054,0.31430460827070306,17.1147016717065,-2.205030738181998,3.8483766506909394,17.565656157309576,4.306837926584217,5.930733713540202,5.7783710376599995,22.88889871614217,20.589106817642005,14.069694072002157,13.815981999314184,15.115827160603272,1.4027296471573756,12.975646028408343,11.276773693390986,20.675437777181404,25.921576083552292,26.131132361767136,22.446372487360236
2018-11-18,13.955033321122608,8.3757678670548,20.976243342215206,21.968139719384194,6.367670752979025,15.646702811510227,19.065962127687396,10.96022793482188,17.860990977174605,12.09483346128162,9.62504180960971,25.701947439499897,12.29767581877919,14.665822519798112,24.567908899440567,20.632441082396312,20.88217076683294,15.494490900332675,29.46946050797519,26.0581094231083,15.361870033132517,16.40031806290812,2.7306849859524522,16.0256226875807,12.4623212722328,12.85056770501149,20.538670437079336,3.1938872535903364,12.57581814505016,20.517935675161965,10.017665342342454,4.595502610905948,18.671940143992995,12.77393594030379,1.5729313129086924,20.27894829386897,22.592399007157724,14.077522245002214,19.81730646226884,16.85555789110967,9.283950449210899,4.707316986661855,10.931556236212769,17.80768170127734,22.326007269103403,12.079478766784586,15.919598935108642,13.272256665896657,5.204922472533546,11.608776233209484,6.30883867902582,20.43922844758089,18.351355279997975,12.34883683630989,17.043764913356164,28.053569323098955,9.881505981715794,-3.2763760465377274,10.610420552300136,15.263990117532233,9.144634881789806,10.145601596380601,12.790610129959783,14.158034440112289,7.2720986092327315,31.86176111341391,5.319899417988829,7.747570712921935,-0.4038810121140166,15.629297527262274,5.233809346121015,6.565619097071275,20.21044815151454,7.766985681363832,24.4884487190291,21.59421798820943,22.776251358831463,4.86203881743961,17.9061793007581,22.63381077772669,15.101413854081866,23.048276315248287,4.439658364014618,7.422777333950853,24.172569755097225,-3.4681932916421037,21.956641925651155,17.998526185784655,15.439211601131287,22.373365953004235,5.661337792406914,13.834286650152904,25.25400486373954,19.212279648569876,33.2122411014619,15.817845795261176,13.221004258234988,17.97769809527093,13.256632940862076,18.80672822025626
2018-11-25,21.251430375766983,15.565826257240603,26.028869259534087,20.415507566162077,14.812328685305921,11.834487115461076,6.076812084146926,2.2118715699796034,12.880101147179058,26.439448675555603,24.548422143374413,32.4019356884564,6.945304628297297,4.780187556002517,13.283185512838896,20.095988906462914,24.0365444658011,23.387434884740827,25.41905738815104,30.511682210618453,10.98875716976343,9.278207131084097,4.12321468026631,11.377379470459193,16.47417664286494,8.354368241008483,23.6590757933993,28.023580510120883,1.7717635367387174,26.565318724016173,-0.4562897297050448,16.14858501212501,24.045988307087452,13.573294104957162,-0.09210775173145969,16.64504623261249,18.509924649402418,14.637325222985888,16.224231469046483,17.518675150239105,14.448561231280593,4.457618669151601,11.562383306275917,28.504219069927366,17.16716887638612,11.541363665702503,22.41633772150642,3.228823676601916,18.640088130680095,9.820137084317388,14.481914391244453,18.698375761714214,23.933918877569823,10.968524120753756,12.68420411391595,28.08263173896451,-1.3947649432194495,9.754453489502694,2.5867465340088227,12.327502348036107,26.653251850178357,16.575589399125114,18.05725547215589,3.3966859705421637,6.832619200073148,22.729963154225768,14.262100994575693,17.55379173870677,12.99107390556901,19.57132441625649,20.156937055708905,-0.8681108809626021,23.619923338797964,18.136886495313824,21.32544150559734,15.971918633017726,12.631703552291285,3.8015051088223037,13.124307501404825,29.29357538873525,0.24829051552011627,15.318017600932382,3.3720581718589937,16.46186158082321,17.973965976865415,8.65500847234351,14.670613299953539,19.8841421411937,14.88599982882646,3.1658049428776884,16.184203199835128,20.24134220597501,20.038013985497603,7.358463765736553,23.65912212457839,20.440197569562958,15.25782322492922,20.937513991303977,14.108610522364966,19.810489055351496
2018-12-02,7.284819465426326,16.540786643879954,12.409741465719328,21.23190812254435,5.477315199672642,9.002654957537732,11.685106889913383,-2.618939319145886,17.668909023835468,15.470824939587573,6.740368193987903,15.03429408423159,15.703302383317062,18.64810182822447,13.837746154208219,19.927697520259688,21.056870323058344,18.322421649126817,30.45059824290469,9.957169703946388,14.605706704278532,9.479886348050352,9.23491104648128,11.977488793492427,10.883889481968376,2.926699825448348,18.20191369687873,29.86648993774505,11.458110937982113,20.27055531417491,4.456481451067835,11.43369898044991,18.977796071079243,8.910625693756444,1.493601823210271,20.313265305520126,11.924118150549061,15.285015259291482,20.67994910499331,25.02418639860396,10.860368328233841,17.564234301787963,17.612173702245048,12.415179196856826,9.24648966638922,9.874688619698421,21.759924021415802,13.767765264590466,6.833202722069979,21.21745122740664,13.604962397561833,1.1554228982457673,19.320687426969325,13.792523306533212,15.661488335377246,22.538405193364174,8.191551245491244,-0.8676656049608003,5.0592536925442175,8.087522895811949,8.48730846675505,6.642416272909458,18.103000868744367,11.116660675904775,5.672936505440713,15.58145104104932,10.396835096736229,19.556003988121596,-2.045203952147981,17.446756132730307,12.384682103267014,-5.8355983039135495,8.821926410257381,6.383259850285785,17.856753337084086,18.454083500903845,8.657578600097601,14.165406828461954,21.147934220154198,24.23206712764087,4.332420030990632,24.066235811287445,12.138072648229018,16.233482555366585,14.572789406730482,-9.375687909584618,27.653644634112553,5.206647747926549,14.715234214880839,32.16522173727108,13.67524248796046,22.29452966098205,9.427735806769203,-0.6793605796670903,16.487096162954995,23.71853223264481,13.454223308541607,14.929457521892656,18.17951463562719,25.849785059847957
2018-12-09,5.11022130894542,5.9528582236798755,11.453548903865476,26.58519495508864,13.529151847686773,25.307547488479873,17.76785526667899,4.959418596594979,24.755137912236272,18.1824648970579,10.362321332558592,25.470681178230173,7.520504317387202,11.645559196291817,22.581242055703697,16.63845432347237,14.103801591258755,13.044762342700368,30.034233399876705,13.383874678493678,8.080900575458536,7.498053539642292,10.984120633432347,10.406704386894225,1.74771923119083,2.7519072161724623,10.607858067428868,28.95002446451307,16.458909381167125,23.524459752564006,4.049332770284922,6.122648242000532,12.728596238675163,3.3367990875983944,19.49109987523648,3.0469334671455375,19.657657122738513,5.047132599624154,15.271083123244555,11.125090432080999,3.0523195316465506,2.6337875277817506,23.249216689505488,15.997658254850151,9.822333803356555,14.457158805663761,16.045112958209337,18.2459323020073,-2.6143151003678735,14.771358038886238,16.611770071187642,1.4589737384178498,20.058057171957746,21.644899276722928,13.841132799265962,25.040343435643084,12.321764881151857,0.595329467793273,6.608099695264224,2.060945596181339,9.672858197499442,14.173595901970232,19.94969995923035,10.199023910196178,12.049926613121613,11.084962039488317,9.268311249368871,13.64549902487537,19.56179799285032,13.56210195005485,11.303524131239252,3.2421351679735997,12.074225289143385,11.668877943933179,13.783027826745657,4.200503202915723,12.436181086454177,6.372086529006381,2.7270614331613015,21.20938845099908,16.45141228617613,21.20172406538636,11.729169952913663,2.5172889092507447,20.416690408911954,5.330845952650498,19.825589443965956,15.518821764140718,5.443149603513753,19.28274456817543,6.478169111193333,16.588173256467048,10.58181371842289,16.27957712185855,12.992374941621957,11.760483190011136,15.106631875806897,11.335429054581958,13.825835528249424,14.386185005043743
2018-12-16,20.38859631514804,15.967913955886551,13.836747222761776,17.275946680092,17.253130827067857,15.950880614389968,15.058203770939713,3.7391238788369257,6.124869326588962,15.15352779863876,9.224021192681878,25.015713573860857,16.411793561380634,7.594512926481097,17.700826097908134,27.24581644380035,12.579769333944924,25.134552832134162,18.083746987944785,15.098621109381355,8.73612707312576,8.924579308137213,3.3642374172048557,7.2716192019727846,4.2590977023511964,8.140322019690942,16.246759278951583,35.96017596165789,20.068414342625275,16.00503549261455,7.4949066256267995,15.521501220352935,14.265705217315578,6.970491723392523,5.983426535535191,18.821703761180522,10.047964171505175,8.186462247823233,17.639954708247735,16.92171803745874,9.338306149227288,4.755892251919667,19.49867817024771,29.361134848389273,15.115210600895654,9.162223461580835,19.695426400555167,9.864607628591143,0.4862025479886354,12.224604932917064,-5.3655739288121485,1.1008354638366464,14.297145539312115,3.020465824021743,5.953947284233615,16.81464231295616,-3.0094743992368116,0.29464944828547646,1.6890635238322287,8.917245809518445,18.25458036703482,12.729590556481266,15.20679127129277,9.496597225721532,8.668565597070357,8.798967377149877,7.806743510285896,14.335172644223759,0.048943192696809135,19.06371171177142,19.651429356589972,-2.210715151552331,13.91721039880722,3.7401449840959273,18.962490974075624,5.102660653754327,10.054303768546609,1.147359291245488,10.080591236817355,8.618840762079545,16.35149280249243,11.049318921837536,7.80125508439675,6.682338334699771,11.809414296326185,-2.4365917575351768,22.033508333426852,8.728161615953603,12.855506460086433,13.03734273864352,4.859313775944673,18.69472788240079,19.957891498609285,7.277932785402063,6.831062810151227,28.107504062477567,7.916107960449992,5.4956786644120985,31.667033133798483,14.717553784708135
2018-12-23,4.276772172073835,8.09228159379126,17.076943544749305,21.046416138487857,7.496094573052775,26.344888406164824,9.692202450426523,-3.3032598231698485,21.473464775680327,24.943168538751408,7.134799017564389,13.168630216382596,18.572973855730858,-1.882464740481213,7.886036618746536,25.337880984458227,16.144890370332988,15.467452784240784,25.24527199334032,14.53862329326769,0.8741495372509309,17.742256930741494,16.79165324842115,12.150400422631078,8.479680316069878,22.301169258972784,13.328667924623305,23.57280704420751,16.071228122674107,28.73035370066015,16.794919705042908,9.349412197716765,16.67468891936493,-1.1138025571661156,4.240435735995323,9.511356487162342,8.319528250221165,21.352621831522708,10.647798774209832,12.433160504317057,11.06655420698682,15.641981797888715,18.275462124293327,37.130180912243546,13.127225696750335,12.378246111150872,18.227105186086504,22.501317073253258,8.135054561196114,11.853207264888649,2.0566308810457388,9.078143049859504,25.748112333171186,7.734310506953497,15.174016668985411,21.179357737356487,11.476586498739703,-2.3502253523028545,20.25221055493381,0.9979495925019943,10.591129938515808,18.529261000209516,17.588327198204844,14.960224234516346,4.836266622576485,14.000687632672788,9.01892313880151,23.56327814186264,12.03067094589863,20.43877263350902,10.448811911943148,7.851445069047852,17.160451242151307,17.790553622527014,29.11815700721101,9.016154171199823,9.080732119203821,0.4038065186563422,9.439118787119007,15.745029453717887,12.54681962765007,15.532612272855323,5.692559054985521,15.25244353073655,10.095158105047236,5.4264430981732135,15.206989707347482,16.661233907229068,21.07335160178848,15.662480834145665,11.55840126657931,18.027342588167954,10.59513063867955,10.286770396757426,16.453722882528652,21.258146231718488,11.50230742426011,14.451534618885066,11.6256188072459,14.975625941328525
2018-12-30,16.01258254341209,18.090624015738086,13.189304078307948,21.49184943464177,14.01100252002935,19.173591674450666,16.57874459154965,-8.45210093778869,17.02175584454077,20.511078857272597,5.464506243222455,31.891730781867928,15.144372141424896,19.383199245785512,9.651383693966327,15.255846979974983,18.61125392669514,6.575642782360383,25.58876240487984,16.668635849546703,14.784596450320638,16.591362860190074,8.097873936761065,4.6784264558791255,20.144251636136524,6.0373890355936375,8.629846401103364,18.53228645553566,22.241348687602553,18.635814405247704,4.555212223873385,12.27794669106609,14.49099782186912,2.150126620231249,11.458662366978166,21.429572615336177,20.557414823179272,18.582597719034617,18.001030776741313,4.259773884715836,20.829864348804495,11.778346746467639,20.535322559717223,31.18473892678695,23.57762176009809,14.524076391617026,20.39948168036253,12.066122947411554,6.512000002237547,7.593125426870502,2.8720091070146525,2.73865268653086,18.37402211902056,17.37456504487766,33.908381413922974,21.89569410534789,-0.9575532110938099,10.6907759832159,7.157690386643631,3.8761265424685574,14.530849521595314,6.421399938434648,18.26408046832807,10.914202818668858,8.7085208566406,17.590447882509068,10.121325927828883,16.465025824007192,11.120668173387458,19.84699376471081,7.769104690785865,-5.647152467574408,16.34263269577324,2.1506534217500164,20.236881901260958,17.41313967032911,15.817524272342792,-1.3433251001344475,5.277426544309791,20.540602060068466,8.836886411353117,14.921630131840772,12.13691420945969,4.157879692539735,12.940777751530108,-1.2564858124272638,11.17814616745402,8.134938289461141,19.216991329418498,18.25590084064137,4.319643451248451,16.340591031545163,4.669025977055201,5.011070700339989,29.737659420191115,19.3074539751333,18.001016644557332,14.272455322020587,20.418962047556835,21.835163123949624
2019-01-06,8.231277277814646,15.612225992525007,27.854024943357434,18.006751633538457,11.396780693535106,18.381344579071126,17.833852721143717,6.39036185978166,27.77043557038182,24.794040847435465,12.346685483818082,33.879482571710234,21.153376297940447,3.9609767133093126,32.35665972935059,33.61717571592739,18.6136965110178,19.754974527781293,35.37354576661323,17.28691874084559,16.649316053415593,22.486667724338158,5.820614307891794,8.527539486906889,19.735325176541828,15.277984598630667,22.17065046145619,25.38161210100127,16.94370184397822,10.454017725890054,3.121169747139236,14.12192847907632,23.147517190690387,11.273578905491572,9.045268932586774,16.507015616303384,19.228272384102034,17.45049514592375,27.360663843452507,16.42043766973479,4.966990973916923,4.184849154481796,29.601463726139194,20.145017980511973,23.554667335547634,12.892286628028906,19.324274383702278,16.451541665978688,16.54405533885552,12.883696518656231,8.524911760000316,-0.4985922765396644,22.743183831300552,17.770380735589594,21.679310602750775,32.28879666199312,8.447942237945018,8.48212212406569,21.662584815679153,-0.6634995886667916,12.730095568094093,24.224654227985752,25.478720092609382,18.018187712851955,15.875157789918367,20.029306998189483,22.65520288001787,21.079120119165598,13.481373780463391,21.017652701087925,16.47139935454006,-3.7360670842613812,23.91351647070777,10.771536070587324,33.910878553931404,14.40929130359757,17.728193806874486,7.793790128463894,7.776406718816583,27.585801835025524,25.523065687345586,18.6578532849546,9.393779478499447,9.063199449661916,4.857664411113227,3.8588655367970732,20.318475669153088,21.577805791574832,24.288722290799335,17.510113632788222,9.188749902259119,27.0716858991253,14.05047765977815,7.622163311465393,30.19225072721173,28.763830001007598,16.65950420031759,12.96306612810583,7.769862320694356,24.563067801705152
